animeID, name,animeID
664,Fullmetal Alchemist: Reflections,664
665,JoJo no Kimyou na Bouken: Adventure,665
666,JoJo no Kimyou na Bouken,666
667,Kashimashi: Girl Meets Girl,667
668,Koi Koi 7,668
669,Kujibiki Unbalance,669
670,Lamune,670
671,Lemon Angel Project,671
673,Mai-HiME Specials,673
675,One: Kagayaku Kisetsu e,675
676,Refrain Blue,676
677,Sentimental Journey,677
678,Shadow Skill: Eigi,678
679,Shadow Skill (1996),679
681,Tenbatsu Angel Rabbie☆,681
682,Otogi Story Tenshi no Shippo,682
683,Otogi Story Tenshi no Shippo Specials,683
684,Tenshi no Shippo Chu!,684
685,To Heart: Remember My Memories,685
686,To Heart: Remember My Memories Specials,686
687,Tokyo Mew Mew,687
688,Uta Kata,688
689,Uta Kata Special,689
690,Kyuuketsuhime Miyu (TV),690
691,Yawara!,691
692,Dousou Kai,692
693,Burn Up Scramble,693
694,Canvas 2: Niji-iro no Sketch,694
695,Canvas: Sepia-iro no Motif,695
696,Tenchi Muyou!,696
704,Kanon Kazahana,704
705,Chou Henshin Cosprayers vs. Ankoku Uchuu Shougun the Movie,705
706,Comic Party Revolution,706
707,Comic Party Specials,707
708,Patapata Hikousen no Bouken,708
709,Mujin Wakusei Survive,709
710,Rec,710
711,Uchuu Senkan Yamato (Movie),711
712,Zoids Genesis,712
713,Air Movie,713
714,High School! Kimengumi,714
715,Yume de Aetara,715
718,Yume de Aetara (TV),718
719,Ai no Kusabi,719
722,Baby☆Love,722
723,Candy Candy (Movie),723
724,Enzai,724
725,First Kiss Monogatari,725
727,Kingyo Chuuihou!,727
729,Hiatari Ryoukou!,729
730,Houkago no Shokuinshitsu,730
731,Interstella5555: The 5tory of The 5ecret 5tar 5ystem,731
732,Vampire Hunter D,732
733,Kizuna,733
734,Kizuna: Koi no kara Sawagi,734
736,Keiraku no Houteishiki Level-C,736
738,MÄR,738
740,Bishoujo Senshi Sailor Moon R,740
741,Sensitive Pornograph,741
743,Umi ga Kikoeru,743
744,Trouble Chocolate,744
746,Papa to Kiss in the Dark,746
747,Haru wo Daite Ita,747
748,True Love Story,748
749,Nanami-chan,749
750,Binchou-tan,750
751,Bomberman Jetters,751
752,Osakana wa Ami no Naka,752
753,Chijoku Shinsatsushitsu,753
754,Yuki no Joou (TV),754
755,Boku no Sexual Harassment,755
756,School Days ONA,756
757,Kaze wo Mita Shounen,757
758,RahXephon: Tagen Hensoukyoku,758
759,Tokyo Godfathers,759
760,Tenjou Tenge: The Past Chapter,760
761,Naruto: Akaki Yotsuba no Clover wo Sagase,761
762,Bleach: Memories in the Rain,762
763,Zoids,763
764,Zoids Shinseiki/Zero,764
765,Chou Henshin Cosprayers Specials,765
766,Kishin Houkou Demonbane,766
767,Burn Up!,767
769,Burn Up! W,769
770,Pale Cocoon,770
771,Ginyuu Mokushiroku Meine Liebe Wieder,771
773,Tenamonya Voyagers,773
776,Nanaka 6/17,776
777,Hellsing Ultimate,777
779,Detective Conan Movie 01: The Timed Skyscraper,779
780,Detective Conan Movie 02: The Fourteenth Target,780
781,Detective Conan Movie 03: The Last Wizard of the Century,781
782,Gasaraki,782
783,Miami Guns,783
785,Otaku no Video,785
786,Pugyuru,786
